SYNLOX,COMPETENCIA,MARCA,CONDICION_ESPECIAL,TIPO_LUBRICANTE,FICHA_TECNICA_URL
,LGHB 2(SULFONATO DE CALCIO)(GRADO 2),SKF,,Grasa,
"SYNLOX CHASSIS EP (COMPLEJO DE LITIO)(GRADO 00,0,1,2 Y 3)",LGWA 2(COMPLEJO DE LITIO)(GRADO 2),SKF,,Grasa,
,LGEP 2()LITIO)(GRADO 2),SKF,,Grasa,
,LGMT 3(LITIO)(GRADO 3),SKF,,Grasa,
,LGMT 2(LITIO)(GRADO 2),SKF,,Grasa,
,LGWM 1( LITIO)( GRADO 1),SKF,,Grasa,
,LGEV 2(LITIO/CALCIO)(GRADO 2)(MOLY+GRAFITO),SKF,,Grasa,
,LGEM 2(LITIO/CALCIO)(GRADO 2)(MOLY+GRAFITO),SKF,,Grasa,
SYNLOX SANPLEX SC (SULFONATO DE CALCIO) (GRADO 1 Y 2),LGFG 2(SULFONATO DE CALCIO)(GRADO 2),SKF,,Grasa,
,LGFQ 2(SULFONATO DE CALCIO)(SINTÉTICO)( GRADO 1.5),,,Grasa,
SYNLOX LOWTEMP (COMPLEJO DE ALUMINIO) (SINTÉTICO) (GRADO 2),LGLT 2(LITIO)(GRAO 2)(SINTÉTICO),SKF,,Grasa,
,LGEP 1( LITIO/CALCIO)( GRADO 1),,,Grasa,
,LGWM 2(SULFONATO DE CALCIO)( GRADO 1 Y 2)(SINTÉTICO),,,Grasa,
SYNLOX POLIUREA EP (POLIUREA) (GRADO 2),LGHQ 2(DIUREA)(GRADO 2) LGHP2(DIUREA)(GRADO 2-3),SKF,,Grasa,
SYNLOX WIRE BIO (VEGETAL) (ISO 5000) (GRADO 000),LGGB 2(LITIO/CALCIO)(ÉSTER SINTÉTICO) GRADO 2,SKF,,Grasa,
SYNLOX VALSEAL (PFTE) (GRADO 3),LGED 2(PTFE)(PFPE)(GRADO 2),SKF,,Grasa,
SYNLOX FLUORINADA FG 222 (PTFE)(PFPE)(GRADO 2),LGET 2(PTFE)(PFPE)(GRADO 2),SKF,,Grasa,
SYNLOX XTREME EP (SULFONATO DE CALCIO)(GRADO 1 Y 2),GRASA PARAGON 3000 (COMPLEJO DE LITIO + COMPLEJO DE CALCIO) (GRADO 1 Y 2),TEXAS REFINERY,,Grasa,
"SYNLOX LITHPLEX EP (COMPLEJO DE LITIO)(GRADO 00,0,1,2 Y 3)","GRASA 880 CROWN AND CHASSIS (COMPLEJO DE CALCIO) (GRADO 00,0,1 Y 2)",TEXAS REFINERY,,Grasa,
SYNLOX BENTOPLEX SYN (BENTONITA)(MOLY)(SINTÉTICO) (GRADO 2),GRASA MOLY HIT TEMP (ARCILLA INORGANICA) (MOLY) (GRADO 2),TEXAS REFINERY,,Grasa,
SYNLOX GRAF OPEN GEAR (COMPLEJO DE ALUMINIO) (GRADO 2),GRASA TAKILUBE II (COMPLEJO DE CALCIO) (MINERLA) (GRADO 3),TEXAS REFINERY,,Grasa,
SYNLOX SANPLEX SC (SULFONATO DE CALCIO) (GRADO 1 Y 2),GRASA PARA MAQUINARIA DE ALIMENTOS (COMPLEJO DE ALUMINIO) (GRADO 1 Y 2),TEXAS REFINERY,,Grasa,
SYNLOX MOLY XTREME EP (SULFONATO DE CALCIO) (MOLY) (GRADO 1 Y 2),GRASA MOLY PARAGON 3000 (COMPLEJO DE LITIO + COMPLEJO DE CALCIO) (MOLY) (GRADO 1 Y 2),TEXAS REFINERY,,Grasa,
SYNLOX SANPLEX AL (COMPLEJO DE ALUMINIO) (GRADO 1 Y 2),GRASA PARA MAQUINARIA DE ALIMENTOS (COMPLEJO DE ALUMINIO) (GRADO 1 Y 2),TEXAS REFINERY,,Grasa,
SYNLOX BENTOPLEX (BENTONITA)(MOLY) (GRADO 2),GRASA HIT TEMP (ARCILLA INORGANICA) (GRADO 1 Y 2),TEXAS REFINERY,,Grasa,
SYNLOX WIRE BIO (VEGETAL) (ISO 5000) (GRADO 000),GRASA PARA CUERDAS DE ALAMBRE WIRE ROPE (GRADO 1),TEXAS REFINERY,,Grasa,
SYNLOX COMPOUD ANTI SEIZE(COMPLEJO DE ALUMINIO)(COBRIZADA) (MOLY)(GRAFITO)(GRADO 1),GRASA ANTIAFERRANTE SUPERPLATE II THREAD COMPOUND (MINERAL) (GRADO 2),TEXAS REFINERY,,Grasa,
SYNLOX MOLY LITHPLEX EP(COMPLEJO DE LITIO)(GRADO 2)(ISO 100),OKS 400(MOLY)(LITIO)(GRADO 2)(ISO 100),OKS,,Grasa,
